name,lat,lng
Unnamed Mosque 1,25.1512373,55.2157272
Unnamed Mosque 2,24.5412156,54.6348818
Maysaloon Mosque,25.3604516,55.4058511
Unnamed Mosque 4,24.471714,54.3405031
Unnamed Mosque 5,24.14498,56.0300541
Unnamed Mosque 6,25.0538263,55.1698122
Unnamed Mosque 7,25.2933964,56.3604856
Sheikh Saoud Alqassimi Mosque,25.3400505,55.4292212
Unnamed Mosque 9,24.1702769,55.1106728
Unnamed Mosque 10,24.170409,55.1349759
Unnamed Mosque 11,24.1831661,54.9933806
Unnamed Mosque 12,24.1900464,54.9988201
Unnamed Mosque 13,24.1713254,55.7080127
Unnamed Mosque 14,24.2313021,55.684487
Unnamed Mosque 15,25.3631777,55.3972223
Unnamed Mosque 16,25.3615302,55.3953624
Unnamed Mosque 17,24.6312441,54.7218913
Unnamed Mosque 18,25.6227047,56.2703506
Unnamed Mosque 19,25.6480554,56.256302
Unnamed Mosque 20,25.6353785,56.2676207
Unnamed Mosque 21,24.1988335,55.6617315
Unnamed Mosque 22,25.714575,55.9715607
Unnamed Mosque 23,25.7613103,55.9248168
Unnamed Mosque 24,25.2259156,55.4017918
Mosque Suhaib Al Roomi,25.7591817,55.983348
مسجد زايد,25.7744962,55.9354219
Unnamed Mosque 27,25.2755475,51.5107357
Unnamed Mosque 28,25.4796406,55.5232745
Unnamed Mosque 29,25.2381563,55.4605495
Unnamed Mosque 30,25.2561653,55.4685761
Unnamed Mosque 31,25.1818538,55.2340879
Unnamed Mosque 32,25.1813608,55.2284298
Unnamed Mosque 33,25.3777265,51.4483625
Unnamed Mosque 34,25.3772369,51.4175007
مسجد جمعة,25.2662213,55.4522104
Local Mosque,25.2694,55.4478052
Unnamed Mosque 37,23.6475228,53.6238966
Unnamed Mosque 38,24.4283656,55.7899716
Unnamed Mosque 39,25.46709,56.3601976
Unnamed Mosque 40,24.9663571,55.4918872
Unnamed Mosque 41,24.275993,55.6235537
Unnamed Mosque 42,25.285762,55.469338
Unnamed Mosque 43,25.2991408,55.4876297
Unnamed Mosque 44,25.2862129,55.5211031
Unnamed Mosque 45,25.3033948,55.5151884
Unnamed Mosque 46,25.2739728,55.5185841
Unnamed Mosque 47,25.2310415,51.4556374
Unnamed Mosque 48,25.2239218,51.4366476
Unnamed Mosque 49,25.3444856,55.4612937
Unnamed Mosque 50,25.3540035,55.4636432
Unnamed Mosque 51,25.3627095,55.4482029
Unnamed Mosque 52,25.3628554,55.4565591
Unnamed Mosque 53,25.3611007,55.4619771
Unnamed Mosque 54,25.344531,55.4560991
Unnamed Mosque 55,25.339435,55.4380097
Unnamed Mosque 56,25.3545553,55.4430953
Unnamed Mosque 57,25.3391466,55.456403
Unnamed Mosque 58,25.3259389,55.4634394
Unnamed Mosque 59,24.3838406,54.7003815
Unnamed Mosque 60,25.3365491,55.4209874
Unnamed Mosque 61,24.4784291,54.8528103
